"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 12 12:27:10 EDT 2026","Tue May 12 12:28:41 EDT 2026","90113","","SauceDemo mobile checkout on Android Chrome","","Checkout information requires customer fields","","Checkout information requires customer fields",""
"passed","Tue May 12 12:04:44 EDT 2026","Tue May 12 12:06:45 EDT 2026","121359","","SauceDemo mobile login on Android Chrome","","Successful users can login and logout","","Successful users can login and logout",""
"broken","Tue May 12 11:55:51 EDT 2026","Tue May 12 11:55:55 EDT 2026","4244","","SauceDemo mobile checkout on Android Chrome","","Add all products and validate checkout overview before finishing","","Add all products and validate checkout overview before finishing",""
"passed","Tue May 12 12:06:45 EDT 2026","Tue May 12 12:08:46 EDT 2026","121298","","SauceDemo mobile login on Android Chrome","","Successful users can login and logout","","Successful users can login and logout",""
"passed","Tue May 12 12:28:41 EDT 2026","Tue May 12 12:30:11 EDT 2026","90539","","SauceDemo mobile checkout on Android Chrome","","Checkout information requires customer fields","","Checkout information requires customer fields",""
"passed","Tue May 12 12:12:54 EDT 2026","Tue May 12 12:14:52 EDT 2026","118088","","SauceDemo mobile login on Android Chrome","","Successful users can login and logout","","Successful users can login and logout",""
"broken","Tue May 12 11:55:55 EDT 2026","Tue May 12 11:56:00 EDT 2026","4909","","SauceDemo mobile checkout on Android Chrome","","Empty cart checkout overview shows zero totals","","Empty cart checkout overview shows zero totals",""
"passed","Tue May 12 12:23:50 EDT 2026","Tue May 12 12:25:38 EDT 2026","108343","","SauceDemo mobile checkout on Android Chrome","","Checkout information requires customer fields","","Checkout information requires customer fields",""
"passed","Tue May 12 12:03:05 EDT 2026","Tue May 12 12:04:44 EDT 2026","98909","","SauceDemo mobile checkout on Android Chrome","","Cancel checkout overview returns to inventory","","Cancel checkout overview returns to inventory",""
"passed","Tue May 12 12:25:38 EDT 2026","Tue May 12 12:27:10 EDT 2026","92003","","SauceDemo mobile checkout on Android Chrome","","Checkout information requires customer fields","","Checkout information requires customer fields",""
"passed","Tue May 12 12:10:47 EDT 2026","Tue May 12 12:12:54 EDT 2026","126575","","SauceDemo mobile login on Android Chrome","","Successful users can login and logout","","Successful users can login and logout",""
"broken","Tue May 12 11:55:43 EDT 2026","Tue May 12 11:55:51 EDT 2026","8001","","SauceDemo mobile checkout on Android Chrome","","Add every fourth product and validate checkout overview before finishing","","Add every fourth product and validate checkout overview before finishing",""
"passed","Tue May 12 12:01:24 EDT 2026","Tue May 12 12:03:05 EDT 2026","100599","","SauceDemo mobile checkout on Android Chrome","","Cancel checkout information returns to cart","","Cancel checkout information returns to cart",""
"passed","Tue May 12 12:08:46 EDT 2026","Tue May 12 12:10:47 EDT 2026","120675","","SauceDemo mobile login on Android Chrome","","Successful users can login and logout","","Successful users can login and logout",""
"passed","Tue May 12 12:14:52 EDT 2026","Tue May 12 12:16:16 EDT 2026","84377","","SauceDemo mobile login on Android Chrome","","Locked out user sees the expected validation message","","Locked out user sees the expected validation message",""
